caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,35,1,1,1,98
extracao_em_modo_llt,3,36,1,1,1,98
extracao_em_modo_llt,3,37,1,1,1,98
extracao_em_modo_llt,3,38,1,1,1,98
extracao_em_modo_llt,3,39,1,1,1,98
extracao_em_modo_llt,3,40,1,1,1,98
extracao_em_modo_llt,3,41,1,1,1,98
extracao_em_modo_llt,3,42,1,1,1,98
extracao_em_modo_llt,3,43,1,1,1,98
extracao_em_modo_llt,3,44,1,1,1,98
extracao_em_modo_llt,3,45,1,1,1,98
extracao_em_modo_llt,3,46,1,1,1,98
extracao_em_modo_llt,3,47,1,1,1,98
extracao_em_modo_llt,3,48,1,1,1,98
extracao_em_modo_llt,3,49,1,1,1,98
extracao_em_modo_llt,3,50,1,1,1,98
extracao_em_modo_llt,3,51,1,1,1,98
extracao_em_modo_llt,3,52,1,1,1,98
extracao_em_modo_llt,3,53,1,1,1,98
extracao_em_modo_llt,3,54,1,1,1,98
extracao_em_modo_llt,3,55,1,1,1,98
extracao_em_modo_llt,3,56,1,1,1,98
extracao_em_modo_llt,3,57,1,1,1,98
extracao_em_modo_llt,3,58,1,1,1,98
extracao_em_modo_llt,3,59,1,1,1,98
extracao_em_modo_llt,3,60,1,1,1,98
extracao_em_modo_llt,3,61,1,1,1,98
extracao_em_modo_llt,3,62,1,1,1,98
extracao_em_modo_llt,3,63,1,1,1,98
extracao_em_modo_llt,3,64,1,1,1,98
extracao_em_modo_llt,3,65,1,1,1,98
extracao_em_modo_llt,3,66,1,1,1,98
extracao_em_modo_llt,3,67,1,1,1,98
extracao_em_modo_llt,3,68,1,1,1,98
extracao_em_modo_llt,3,69,1,1,1,98
extracao_em_modo_llt,3,70,1,1,1,98
extracao_em_modo_llt,3,71,1,1,1,98
extracao_em_modo_llt,3,72,1,1,1,98
extracao_em_modo_llt,3,73,1,1,1,98
extracao_em_modo_llt,3,74,1,1,1,98
extracao_em_modo_llt,3,75,1,1,1,98
extracao_em_modo_llt,3,76,1,1,1,98
extracao_em_modo_llt,3,77,1,1,1,98
extracao_em_modo_llt,3,78,1,1,1,98
extracao_em_modo_llt,3,79,1,1,1,98
extracao_em_modo_llt,3,80,1,1,1,98
extracao_em_modo_llt,3,81,1,1,1,98
extracao_em_modo_llt,3,82,1,1,1,98
extracao_em_modo_llt,3,83,1,1,1,98
extracao_em_modo_llt,3,84,1,1,1,98
extracao_em_modo_llt,3,85,1,1,1,98
extracao_em_modo_llt,3,86,1,1,1,98
extracao_em_modo_llt,3,87,1,1,1,98
extracao_em_modo_llt,3,88,1,1,1,98
extracao_em_modo_llt,3,89,1,1,1,98
