caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_via_interface_matrix,3,17,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,18,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,19,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,20,obsoleto_funcionalidade_alterada,15,12,47
extracao_em_modo_llt,1,1,reutilizavel,5,4,51
extracao_em_modo_llt,1,2,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,3,reutilizavel,5,4,51
extracao_em_modo_llt,1,4,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,5,reutilizavel,5,4,51
extracao_em_modo_llt,1,6,reutilizavel,5,4,51
extracao_em_modo_llt,1,7,reutilizavel,5,4,51
extracao_em_modo_llt,1,8,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,9,reutilizavel,5,4,51
extracao_em_modo_llt,1,10,reutilizavel,5,4,51
extracao_em_modo_llt,1,11,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,12,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,13,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,14,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,15,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,16,reutilizavel,5,4,51
extracao_em_modo_llt,1,17,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,18,reutilizavel,5,4,51
extracao_em_modo_llt,1,19,reutilizavel,5,4,51
extracao_em_modo_llt,1,20,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,21,reutilizavel,5,4,51
extracao_em_modo_llt,1,22,reutilizavel,5,4,51
extracao_em_modo_llt,1,23,reutilizavel,5,4,51
extracao_em_modo_llt,1,24,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,25,reutilizavel,5,4,51
extracao_em_modo_llt,1,26,reutilizavel,5,4,51
extracao_em_modo_llt,1,27,obsoleto_funcionalidade_alterada,5,4,51
extracao_em_modo_llt,1,28,reutilizavel,5,4,51
extracao_em_modo_llt,1,29,reutilizavel,5,4,51
extracao_em_modo_llt,2,1,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,2,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,3,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,4,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,5,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,6,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,7,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,8,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,9,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,10,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,11,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,12,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,13,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,14,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,15,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,16,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,17,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,18,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,19,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,20,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,21,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,2,22,obsoleto_funcionalidade_alterada,38,10,51
extracao_em_modo_llt,3,1,reutilizavel,1,1,98
extracao_em_modo_llt,3,2,reutilizavel,1,1,98
extracao_em_modo_llt,3,3,reutilizavel,1,1,98
extracao_em_modo_llt,3,4,reutilizavel,1,1,98
extracao_em_modo_llt,3,5,reutilizavel,1,1,98
extracao_em_modo_llt,3,6,reutilizavel,1,1,98
extracao_em_modo_llt,3,7,reutilizavel,1,1,98
extracao_em_modo_llt,3,8,reutilizavel,1,1,98
extracao_em_modo_llt,3,9,reutilizavel,1,1,98
extracao_em_modo_llt,3,10,reutilizavel,1,1,98
extracao_em_modo_llt,3,11,reutilizavel,1,1,98
extracao_em_modo_llt,3,12,reutilizavel,1,1,98
extracao_em_modo_llt,3,13,reutilizavel,1,1,98
extracao_em_modo_llt,3,14,reutilizavel,1,1,98
extracao_em_modo_llt,3,15,reutilizavel,1,1,98
extracao_em_modo_llt,3,16,reutilizavel,1,1,98
extracao_em_modo_llt,3,17,reutilizavel,1,1,98
extracao_em_modo_llt,3,18,reutilizavel,1,1,98
extracao_em_modo_llt,3,19,reutilizavel,1,1,98
extracao_em_modo_llt,3,20,reutilizavel,1,1,98
extracao_em_modo_llt,3,21,reutilizavel,1,1,98
extracao_em_modo_llt,3,22,reutilizavel,1,1,98
extracao_em_modo_llt,3,23,reutilizavel,1,1,98
extracao_em_modo_llt,3,24,reutilizavel,1,1,98
extracao_em_modo_llt,3,25,reutilizavel,1,1,98
extracao_em_modo_llt,3,26,reutilizavel,1,1,98
extracao_em_modo_llt,3,27,reutilizavel,1,1,98
extracao_em_modo_llt,3,28,reutilizavel,1,1,98
extracao_em_modo_llt,3,29,reutilizavel,1,1,98
extracao_em_modo_llt,3,30,reutilizavel,1,1,98
extracao_em_modo_llt,3,31,reutilizavel,1,1,98
extracao_em_modo_llt,3,32,reutilizavel,1,1,98
extracao_em_modo_llt,3,33,reutilizavel,1,1,98
extracao_em_modo_llt,3,34,reutilizavel,1,1,98
extracao_em_modo_llt,3,35,reutilizavel,1,1,98
extracao_em_modo_llt,3,36,reutilizavel,1,1,98
extracao_em_modo_llt,3,37,reutilizavel,1,1,98
extracao_em_modo_llt,3,38,reutilizavel,1,1,98
extracao_em_modo_llt,3,39,reutilizavel,1,1,98
extracao_em_modo_llt,3,40,reutilizavel,1,1,98
extracao_em_modo_llt,3,41,reutilizavel,1,1,98
extracao_em_modo_llt,3,42,reutilizavel,1,1,98
extracao_em_modo_llt,3,43,reutilizavel,1,1,98
extracao_em_modo_llt,3,44,reutilizavel,1,1,98
extracao_em_modo_llt,3,45,reutilizavel,1,1,98
extracao_em_modo_llt,3,46,reutilizavel,1,1,98
extracao_em_modo_llt,3,47,reutilizavel,1,1,98
extracao_em_modo_llt,3,48,reutilizavel,1,1,98
extracao_em_modo_llt,3,49,reutilizavel,1,1,98
extracao_em_modo_llt,3,50,reutilizavel,1,1,98
extracao_em_modo_llt,3,51,reutilizavel,1,1,98
extracao_em_modo_llt,3,52,reutilizavel,1,1,98
extracao_em_modo_llt,3,53,reutilizavel,1,1,98
extracao_em_modo_llt,3,54,reutilizavel,1,1,98
extracao_em_modo_llt,3,55,reutilizavel,1,1,98
extracao_em_modo_llt,3,56,reutilizavel,1,1,98
extracao_em_modo_llt,3,57,reutilizavel,1,1,98
extracao_em_modo_llt,3,58,reutilizavel,1,1,98
extracao_em_modo_llt,3,59,reutilizavel,1,1,98
extracao_em_modo_llt,3,60,reutilizavel,1,1,98
extracao_em_modo_llt,3,61,reutilizavel,1,1,98
extracao_em_modo_llt,3,62,reutilizavel,1,1,98
extracao_em_modo_llt,3,63,reutilizavel,1,1,98
extracao_em_modo_llt,3,64,reutilizavel,1,1,98
extracao_em_modo_llt,3,65,reutilizavel,1,1,98
extracao_em_modo_llt,3,66,reutilizavel,1,1,98
extracao_em_modo_llt,3,67,reutilizavel,1,1,98
extracao_em_modo_llt,3,68,reutilizavel,1,1,98
extracao_em_modo_llt,3,69,reutilizavel,1,1,98
extracao_em_modo_llt,3,70,reutilizavel,1,1,98
extracao_em_modo_llt,3,71,reutilizavel,1,1,98
extracao_em_modo_llt,3,72,reutilizavel,1,1,98
extracao_em_modo_llt,3,73,reutilizavel,1,1,98
extracao_em_modo_llt,3,74,reutilizavel,1,1,98
extracao_em_modo_llt,3,75,reutilizavel,1,1,98
extracao_em_modo_llt,3,76,reutilizavel,1,1,98
extracao_em_modo_llt,3,77,reutilizavel,1,1,98
extracao_em_modo_llt,3,78,reutilizavel,1,1,98
extracao_em_modo_llt,3,79,reutilizavel,1,1,98
extracao_em_modo_llt,3,80,reutilizavel,1,1,98
extracao_em_modo_llt,3,81,reutilizavel,1,1,98
extracao_em_modo_llt,3,82,reutilizavel,1,1,98
extracao_em_modo_llt,3,83,reutilizavel,1,1,98
extracao_em_modo_llt,3,84,reutilizavel,1,1,98
extracao_em_modo_llt,3,85,reutilizavel,1,1,98
extracao_em_modo_llt,3,86,reutilizavel,1,1,98
